requirement_id,category,requirement_text
AOA-BIO-006,LOCKED CAPABILITY,"The biochemical phenotype supports emitters that map typed source loci to chemical release using bounded cadence, threshold, gain, analogue/digital response, inversion, and optional source reset."
AOA-BIO-007,LOCKED CAPABILITY,"The biochemical phenotype supports receptors that map chemical concentrations to typed body, organ, drive, developmental, autonomic, or neural loci."
AOA-BIO-008,LOCKED CAPABILITY,The biochemical phenotype supports neuroemitters that map bounded neural summaries or learned assembly activity to chemical release.
AOA-BIO-009,LOCKED INVARIANT,Receptor and emitter destinations are typed and validated. Untyped raw pointers or arbitrary memory addresses are prohibited.
AOA-BIO-010,LOCKED CAPABILITY,"Different organisms may respond differently to the same chemical concentration because receptor expression, thresholds, gains, target loci, and neural receptor profiles are heritable and evolvable."
AOA-BIO-011,LOCKED INVARIANT,Material and energetic biochemical pathways obey declared conservation and resource accounting. Regulatory signalling chemicals may be produced and decay non-conservatively only through explicit emitters and costs.
AOA-BIO-012,LOCKED INVARIANT,"Biochemical execution cost scales with active reactions, receptors, emitters, organs, and species, not the square of all possible chemical IDs."
AOA-BIO-013,LOCKED CAPABILITY,"Chemicals may act on different natural timescales, providing transient arousal, medium-duration reinforcement, slow developmental regulation, persistent toxins, and other temporal roles."
AOA-BIO-014,LOCKED CAPABILITY,"Compartmentalization may model blood, organ-local chemistry, extracellular signalling, gut contents, neural modulators, or other species-specific compartments without requiring every organism to instantiate every compartment."
AOA-BIO-015,LOCKED INTERFACE,A drive frame is a bounded derived view tied to authoritative body and biochemical state. It cannot advance independently.
AOA-BIO-016,LOCKED CAPABILITY,"Evolution can change what raises, lowers, suppresses, stores, or restores a drive by changing body, chemical, reaction, emitter, and receptor pathways while preserving the brain-facing ABI where required."
AOA-BIO-017,LOCKED CAPABILITY,Emergency chemistry may suppress or transform lower-priority drive signals without hardcoding a complete cognitive decision tree.
AOA-BIO-018,LOCKED INVARIANT,A drive is not itself a reward. A high drive changes internal state and salience; the brain must still learn or infer which grounded actions affect it.
AOA-BIO-019,LOCKED INTERFACE,"The neural receptor frame exposes bounded chemical/receptor activations with stable semantics, source chemistry version, target neural receptor class, and causal tick."
AOA-BIO-020,LOCKED INTERFACE,The neural-emission frame exposes bounded neural summaries to biochemistry without giving chemistry arbitrary access to raw neural state.
AOA-BIO-021,LOCKED CAPABILITY,"Neural receptor effects may modulate interoceptive input, regional excitability, projection gain, local threshold, attention gating, plasticity receptor classes, structural growth, sleep, and consolidation."
AOA-BIO-022,LOCKED INVARIANT,Those effects are computed by the neural phenotype from biochemical signals. Biochemistry does not publish one universal finished `NeuralModulation` policy object.
AOA-BIO-023,LOCKED CAPABILITY,"Neuroemitters allow learned cognition to influence autonomic, endocrine, developmental, social, and metabolic state without directly mutating body variables."
AOA-BIO-024,LOCKED INVARIANT,"Reward valence, biological value change, and neural reward-prediction error remain separately represented and inspectable."
AOA-BIO-025,LOCKED INTERFACE,Every sealed experience transaction includes measured before/after body and biochemical references sufficient to compute actual homeostatic change.
AOA-BIO-026,LOCKED INVARIANT,A production outcome may not substitute a zero or default homeostatic delta when canonical biology changed.
AOA-BIO-027,REFERENCE MECHANISM,Use a small multidimensional neuromodulatory vector rather than one universal scalar. Synapse or projection receptor profiles project that vector into a local third factor.
AOA-BIO-028,LOCKED CAPABILITY,"The organism can learn different things from the same physical event depending on its current physiology, expectations, receptor genetics, memory, and social context."
AOA-BRAIN-001,LOCKED INVARIANT,"Adaptive neural compute is reserved for functions that materially benefit from learning, prediction, memory, context, generalization, arbitration, communication, or flexible control."
AOA-BRAIN-002,LOCKED CAPABILITY,"The brain supports sparse recurrent dynamics, nonlinear dendritic computation, local plasticity, predictive learning, attention, memory interfaces, semantic topology, factorized action selection, and structural plasticity."
AOA-BRAIN-003,LOCKED INVARIANT,"No region name dispatches a handwritten cognitive algorithm. Region function emerges from connectivity, ports, dynamics, chemistry, plasticity, development, training, and experience."
AOA-BRAIN-004,LOCKED INVARIANT,"The brain never receives game-specific commands such as `find food`, `attack target`, `solve task`, or an equivalent high-level policy shortcut as a sensory input or motor primitive."
AOA-BRAIN-005,LOCKED INTERFACE,"The portable cognitive core has stable sensory, interoceptive, memory, semantic-prior, teacher/social, motor-intent, neural-emission, persistence, and inspection ports."
AOA-BRAIN-006,LOCKED CAPABILITY,"Neural state is recurrent and can preserve context, attractors, oscillations, working memory, and temporally extended competence."
AOA-BRAIN-007,LOCKED CAPABILITY,"Synaptic state has distinct inherited, lifetime-consolidated, and fast acquired components with explicit update, persistence, and inheritance semantics."
AOA-BRAIN-008,LOCKED INVARIANT,Lifetime and fast acquired weights are somatic. They do not enter offspring except through explicit sanitizing assimilation.
AOA-BRAIN-009,LOCKED CAPABILITY,"Neurons or projections may use different intrinsic time constants, update cadences, receptor profiles, plasticity classes, and metabolic costs."
AOA-BRAIN-010,LOCKED CAPABILITY,Selected neurons support nonlinear within-neuron conjunction computation through bounded dendritic branches or an evidence-backed equivalent.
AOA-BRAIN-011,LOCKED INVARIANT,Dendritic execution is indexed by target or another sparse equivalent. It may not scan every branch for every neuron.
AOA-BRAIN-012,LOCKED CAPABILITY,"The neural substrate exposes enough bounded state for persistence, migration, debugging, work accounting, and capability attribution without placing identity indirection in the hot path."
AOA-BRAIN-013,REFERENCE MECHANISM,"High-volume recurrent projections, dendritic evaluation, local learning, and prediction heads are batch-executed on the GPU using sparse target-major or tile-major layouts."
AOA-BRAIN-014,LOCKED INVARIANT,"Quantization, sparsity, batching, and accelerator-specific kernels may alter numerical precision only within declared behavioural and dynamical tolerances."
AOA-REG-001,LOCKED INVARIANT,"The nine founder homologues are permanent developmental and compatibility anchors. They cannot be deleted, although their mature functions and sizes may change above functional floors."
AOA-REG-002,LOCKED INVARIANT,Founder region labels never authorize special handwritten cognitive code.
AOA-REG-003,LOCKED CAPABILITY,"Region size, recurrence, cell mix, dendritic capacity, connectivity, receptor expression, plasticity, cadence, and developmental timing are phenotype-controlled and evolvable."
AOA-REG-004,LOCKED CAPABILITY,Founder allocation uses minimum floors plus proportional remainder so small brains preserve essential interfaces while larger brains devote most added capacity to flexible cognition.
AOA-REG-005,TUNABLE DEFAULT,"Reference remainder shares are: Perceptual 16%, Interoceptive 6%, Association 23%, Temporal 13%, Executive 10%, Memory Interface 7%, Action/Planning 10%, Social/Communication 8%, Flexible Reserve 7%."
AOA-REG-006,LOCKED CAPABILITY,"Evolution and development may create derived regions by reserve recruitment, subdivision, duplication and divergence, assembly specialization, bounded fusion, and pruning."
AOA-REG-007,LOCKED INTERFACE,"Every derived region records parent homology, creation mechanism, interface ports, prior dependencies, receptor/plasticity profile, capacity requirements, and compatibility family."
AOA-REG-008,LOCKED INVARIANT,"Derived-region count and capacity are bounded by brain class, developmental viability, inherited-information cost, and runtime work budgets."
AOA-REG-009,LOCKED CAPABILITY,Crossbreeding uses homology-aware bounded recombination. Matched derived regions recombine; unmatched regions are optional structural alleles expressed only when dependencies and budgets are satisfied.
AOA-REG-010,LOCKED INVARIANT,"New or unmatched bridges begin silent, zero-gain, low-gain, or in developmental acclimation. They may not immediately destabilize the child brain."
AOA-SENSE-001,LOCKED INTERFACE,"Sensory adapters expose grounded modality features, confidence, spatial/temporal reference, and provenance. They do not expose designer semantic categories as truth."
AOA-SENSE-002,LOCKED INVARIANT,"A body-neutral sensor ABI may normalize or compress raw signals, but must not secretly perform the semantic recognition, planning, or value judgement assigned to cognition."
AOA-ATT-001,LOCKED CAPABILITY,Attention performs broad peripheral processing followed by bounded expensive focal processing or an equivalent mechanism that materially reallocates compute.
AOA-ATT-002,LOCKED CAPABILITY,"Focal selection depends on current physiology, memory, concepts, uncertainty, prediction residuals, social state, novelty, and learned neural influence."
AOA-ATT-003,LOCKED CAPABILITY,"Focal capacity is a function of brain class, phenotype, current state, and available compute rather than a universal fixed constant."
AOA-ATT-004,LOCKED INVARIANT,"Changing attention while holding the world constant must be capable of changing downstream neural evidence or action, not only a diagnostic label."
AOA-ATT-005,LOCKED CAPABILITY,Attention includes hysteresis and persistence so noisy small salience changes do not cause pathological target thrashing.
AOA-ATT-006,REFERENCE MECHANISM,The peripheral pass is usually world/CPU efficient; focal sensory encoding and neural processing may be batched on the GPU. Exact placement is replaceable.
AOA-CTX-001,LOCKED INTERFACE,"The cognitive context is bound to one organism, causal sequence, world tick, perception frame, and canonical body/biochemical view."
AOA-CTX-002,LOCKED INVARIANT,The context interoceptive view is populated from canonical biology. A default or stale internal-state vector may not coexist with a different authoritative state in the same decision.
AOA-CTX-003,LOCKED INVARIANT,Canonical digests are identity and integrity evidence. They are not semantic embeddings and may not be used as geometry for learning or generalization.
AOA-CTX-004,LOCKED CAPABILITY,"The context supports bounded explicit uncertainty, source confidence, recency, and provenance so cognition can distinguish observation, memory, semantic prior, and teacher communication."
AOA-MEM-001,LOCKED CAPABILITY,"The organism supports delayed episodic recall, context-sensitive retrieval, memory confidence, source/provenance, and forgetting or compression."
AOA-MEM-002,LOCKED INVARIANT,Memory retrieval provides evidence and expectancy; it does not force an action or bypass neural arbitration.
AOA-MEM-003,LOCKED CAPABILITY,"Candidate-specific episodic evidence may alter attention, prediction, neural state, or action preference through a real production path."
AOA-MEM-004,LOCKED CAPABILITY,"Individual semantic memory stores grounded concepts, relations, confidence, source, temporal validity, and contradiction history."
AOA-MEM-005,LOCKED INVARIANT,Personal semantic propositions and autobiographical episodes are not written into the germline by ordinary sleep or reproduction.
AOA-MEM-006,LOCKED INTERFACE,"The Memory Interface region controls queries, retrieval, storage, and neural translation while the memory store remains an explicit bounded subsystem."
AOA-MEM-007,LOCKED CAPABILITY,"Memory can represent individuals and relationships persistently across time, save/load, sleep, separation, and reunion."
AOA-MEM-008,LOCKED CAPABILITY,"Memory consolidation balances retention, compression, interference control, and generalization without forcing all stable memories into neural weights."
AOA-MEM-009,REFERENCE MECHANISM,Episodic memory is usually sparse irregular CPU-side storage with bounded GPU uploads for selected retrievals; alternative placements require measured benefit.
AOA-CON-001,LOCKED CAPABILITY,"Concepts can form, strengthen, weaken, split, merge, decay, and be re-grounded from experience."
AOA-CON-002,LOCKED CAPABILITY,"Concept induction is organized by predictive and cognitive utility, not only perceptual clustering."
AOA-CON-003,LOCKED CAPABILITY,"Systematic contradiction may create or raise an unresolved gap and may trigger concept splitting, relation revision, targeted attention, or exploration."
AOA-CON-004,LOCKED CAPABILITY,"Concept and gap state can alter neural context, attention, prediction, memory retrieval, communication, or action through explicit causal paths."
AOA-CON-005,LOCKED INVARIANT,"Global diagnostic maxima alone do not satisfy target-grounded concept or gap influence. Evidence must be linked to relevant objects, relations, actions, or contexts."
AOA-CON-006,LOCKED INVARIANT,"Concept induction and neural structural growth are separate learning processes. They may exchange bounded evidence, but concept edges are not automatically synapses and strong synapses are not automatically concepts."
AOA-CON-007,LOCKED INVARIANT,External semantic-prior suggestions remain hypotheses until grounded. They cannot create authoritative concepts by declaration.
AOA-PRED-001,LOCKED CAPABILITY,"The brain predicts grounded successor features including sensory change, contact, motion, drive/chemical change, success/failure, concepts, social response, and other phenotype-supported targets."
AOA-PRED-002,LOCKED INVARIANT,Source and successor vectors use explicitly versioned semantically corresponding features or an explicit cross-schema mapping.
AOA-PRED-003,LOCKED INVARIANT,"Prediction conditions on the full joint motor bundle, not only one primary action ID when multiple channels execute together."
AOA-PRED-004,LOCKED INVARIANT,"Categorical motor identities use one-hot, learned, structured, or otherwise semantically valid encodings. Arbitrary integer or bit geometry is not treated as meaningful distance."
AOA-PRED-005,LOCKED INVARIANT,The predictive objective includes information-preserving constraints or grounded target construction that makes constant and action-insensitive representations non-optimal.
AOA-PRED-006,LOCKED CAPABILITY,Different materially distinct successor states remain separable; different actions can predict different outcomes; passive observation can improve later prediction or behaviour.
AOA-PRED-007,LOCKED CAPABILITY,"Prediction is used before action to estimate candidate consequences, uncertainty, or information gain, not only updated after the fact."
AOA-PRED-008,LOCKED CAPABILITY,"Prediction residuals influence unresolved gaps, attention, curiosity, memory prioritization, learning, and structural proposals through bounded interfaces."
AOA-PRED-009,REFERENCE MECHANISM,"Stable targets may use EMA teachers, stop-gradient encoders, fixed projections, variance/covariance constraints, contrastive structure, grounded observables, or evidence-backed combinations. No one self-supervised family is locked."
AOA-PRED-010,DEFERRED CAPABILITY,"The brain supports bounded counterfactual rollout or deliberation using its learned world model, initially at small depth and candidate count rather than exhaustive tree search."
AOA-LEARN-001,LOCKED CAPABILITY,The brain supports fast online learning that can alter behaviour after a small number of relevant experiences.
AOA-LEARN-002,LOCKED INVARIANT,"Eligibility is bound to the exact organism, phenotype/graph epoch, perception/context, selected joint motor output, and causal outcome transaction."
AOA-LEARN-003,LOCKED CAPABILITY,Every active motor channel can receive causally supportable credit through joint eligibility or channel-aware traces without fabricated channel reward labels.
AOA-LEARN-004,LOCKED INVARIANT,Experience preserves individual channel commands and the joint physical outcome. It need not invent separable rewards for channels whose effects are inseparable.
AOA-LEARN-005,LOCKED INVARIANT,"Immediate plasticity and slower normalization/consolidation have distinguishable semantics, schedules, and evidence."
AOA-LEARN-006,LOCKED CAPABILITY,Negative physical/biochemical experience can produce an appropriate aversive learning signal and change later action preference through the ordinary production path.
AOA-LEARN-007,LOCKED CAPABILITY,"Positive homeostatic improvement, novelty, social consequence, and prediction surprise can shape different receptor classes rather than collapsing into one universal reward."
AOA-LEARN-008,LOCKED INVARIANT,"Current hormone names may be reference species channels, but the architecture does not assume one universal mammalian mapping for every breed or transplanted brain."
AOA-LEARN-009,LOCKED CAPABILITY,Metaplasticity and local learning-rule parameters are heritable and can be optimized through founder meta-training and evolution.
AOA-LEARN-010,LOCKED INVARIANT,"A teacher, evaluation harness, or world script cannot directly set the neuromodulatory third factor as an answer key."
AOA-STR-001,LOCKED CAPABILITY,"The lifetime brain supports experience-dependent synaptogenesis, pruning, dendritic branch allocation, and accepted structural changes that alter later computation."
AOA-STR-002,LOCKED INVARIANT,"Structural candidate discovery never enumerates all absent neuron pairs. Its complexity is approximately proportional to active structure times a bounded candidate budget, such as O(NK), O(BK), or better."
AOA-STR-003,LOCKED CAPABILITY,"Candidate evidence may include coactivation, eligibility, prediction residuals, shared concept/gap support, local activity sketches, spatial/developmental affinity, and bounded stochastic exploration."
AOA-STR-004,LOCKED INVARIANT,"Candidate storage granularity is replaceable: neuron, branch, route, tile, sketch, or hybrid. No per-neuron reservoir is locked as universal architecture."
AOA-STR-005,LOCKED CAPABILITY,"Dendritic conjunction capacity is allocated by phenotype, development, experience, and capability-per-compute evidence rather than uniformly or decoratively."
AOA-STR-006,LOCKED INVARIANT,"A structural counter, proposal object, or pruning-only path does not satisfy synaptogenesis. Accepted growth must change live sparse computation."
AOA-STR-007,LOCKED CAPABILITY,"Structural changes are persisted, versioned by graph epoch, included in work accounting, and compatible with brain growth and rollback."
AOA-MOTOR-001,LOCKED CAPABILITY,The brain can issue simultaneous bounded commands on multiple motor channels.
AOA-MOTOR-002,LOCKED INTERFACE,"A motor intent bundle records every active channel, primitive/parameterization, intensity, duration, direction or target reference, confidence, coordination group, and causal sequence."
